index,xmin,ymin,xmax,ymax,center_x,center_y,confidence,class,predicted_id,name,componentId,color,key,lineTypeId,group,lineTypeIdNumber,lineTypeName,checked,componentType,distance
34,1484.6636,928.10547,1538.0847,966.8375,1511.3741,947.4715,0.88109016,24,b638b435,LL,clnk1xblj003h34aof7r696zx,#0DB2B2,69981a6c,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,mandatory,5000.0
33,1433.0107,969.08954,1571.7063,1013.9067,1502.3585,991.4981,0.8564774,36,2d1479fb,v_m_digital,clnk1x9zl002z34aoinxcy3e7,#0DB27A,18b8b4dd,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,optional,67.9116882454314
47,1919.0178,992.0882,2042.6067,1137.1702,1980.8123,1064.6292,0.9084023,12,d0c040c2,115_vt_1p,clnk1x9yy002134aockv28u8a,#F1463F,c887ec95,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,optional,782.0773439350248
78,2620.3647,1061.0398,2640.054,1074.5314,2630.2095,1067.7856,0.6824381,8,8b7f3025,115_ds,clnk1x9z9002d34aoevv8q7k2,#B20D0D,458a03c5,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,optional,1686.3750339805827
61,2120.7144,1541.1132,2238.2937,1663.8658,2179.504,1602.4895,0.9263205,1,cd82a9a1,11522_tx_ynyn0d1,clnk1x9yy001n34ao3p4j64wb,#3C57B0,6d9042ce,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,mandatory,5000.0
43,1782.2208,1616.966,1961.9136,1656.9535,1872.0671,1636.9597,0.88533527,26,dc265216,NGR_future,clnk1xa1b003934aoa97gb8sf,#B20DD0,eb39a81e,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,517.666088965482
53,2085.8394,1130.3596,2166.8306,1174.8026,2126.335,1152.581,0.8773543,2,03440e7d,115_1way_ds_w_motor,clnk1x9yy001w34ao2t1e12f3,#B2AA0A,253cb4ee,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,985.4204896855324
66,2235.3308,1339.0331,2297.3054,1379.5952,2266.318,1359.3142,0.91319156,22,ad15e439,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,8ecf3a92,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,574.4062043356596
51,2058.6077,1463.3203,2127.2307,1497.9907,2092.9192,1480.6555,0.9127696,11,85591477,115_la,clnk1x9zg002r34aoait6btdp,#9936AC,8e7f49ce,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,318.93102422918764
58,2135.7039,1207.045,2163.787,1240.5045,2149.7456,1223.7748,0.8311058,4,9a1d6ecc,115_breaker,clnk1x9z0002734aoowjtqqn8,#F20D7A,d93d8597,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,756.5432893255071
