index,xmin,ymin,xmax,ymax,center_x,center_y,confidence,class,predicted_id,name,componentId,color,key,lineTypeId,group,lineTypeIdNumber,lineTypeName,checked,componentType,distance
33,1484.6644,928.1027,1538.0825,966.8393,1511.37345,947.471,0.88109374,24,09a0cae1,LL,clnk1xblj003h34aof7r696zx,#0DB2B2,fac31505,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,mandatory,5000.0
32,1432.9974,969.0854,1571.7029,1013.91296,1502.35015,991.49918,0.85648155,36,0c3b228f,v_m_digital,clnk1x9zl002z34aoinxcy3e7,#0DB27A,d697e6d8,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,optional,65.32590180780451
46,1919.0222,992.0838,2042.596,1137.176,1980.8091,1064.6299,0.9083688,12,30f6c108,115_vt_1p,clnk1x9yy002134aockv28u8a,#F1463F,ec931ab8,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,optional,784.462120245875
77,2620.3643,1061.0385,2640.054,1074.5304,2630.20915,1067.78445,0.68252856,8,3983e1af,115_ds,clnk1x9z9002d34aoevv8q7k2,#B20D0D,b8c5436d,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,optional,2983.7042533187164
60,2120.7134,1541.1228,2238.29,1663.8671,2179.5017,1602.49495,0.9263248,1,c4297a6d,11522_tx_ynyn0d1,clnk1x9yy001n34ao3p4j64wb,#3C57B0,8bc68a3c,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,mandatory,5000.0
42,1782.1926,1616.9536,1961.9498,1656.971,1872.0712,1636.9623000000001,0.8854129,26,e5423867,NGR_future,clnk1xa1b003934aoa97gb8sf,#B20DD0,0a599566,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,516.8376618407358
52,2085.8364,1130.3643,2166.8542,1174.811,2126.3453,1152.58765,0.87735724,2,62c7e10c,115_1way_ds_w_motor,clnk1x9yy001w34ao2t1e12f3,#B2AA0A,304d8031,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,866.7098115668778
65,2235.3257,1339.0353,2297.308,1379.6002,2266.31685,1359.3177500000002,0.9132104,22,131c81a4,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,608d3fc7,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,574.4062043356596
50,2058.5981,1463.3191,2127.2415,1497.9976,2092.9198,1480.65835,0.91285354,11,482b1583,115_la,clnk1x9zg002r34aoait6btdp,#9936AC,3b85f7d0,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,318.93102422918764
57,2135.6995,1207.038,2163.791,1240.5093,2149.74525,1223.77365,0.83111763,4,5a354fa3,115_breaker,clnk1x9z0002734aoowjtqqn8,#F20D7A,427f7592,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,730.5016587651645
