index,xmin,ymin,xmax,ymax,center_x,center_y,confidence,class,predicted_id,name,componentId,color,key,lineTypeId,group,lineTypeIdNumber,lineTypeName,checked,componentType,distance
33,1433.0099,969.0894,1571.6925,1013.9063,1502.3512,991.49786,0.8564966,36,30b65f55,v_m_digital,clnk1x9zl002z34aoinxcy3e7,#0DB27A,cc6aa3c8,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,optional,67.9116882454314
47,1919.063,991.98535,2042.6372,1137.2588,1980.8501,1064.6221,0.90844715,12,ebfb72d4,115_vt_1p,clnk1x9yy002134aockv28u8a,#F1463F,8ff46911,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,optional,792.0184694319792
76,2620.3206,1060.9935,2640.128,1074.5408,2630.224,1067.7671,0.68560666,8,edd9965c,115_ds,clnk1x9z9002d34aoevv8q7k2,#B20D0D,0d8cbd53,clwx2951l000c348cuts0j8vg,clwx2951l000c348cuts0j8vg-0,clwx2951l000c348cuts0j8vg-0,115_tie-1-0,False,optional,1725.3455967290597
61,2120.7036,1541.1381,2238.281,1663.8832,2179.4922,1602.5106,0.9263347,1,55fe3a0f,11522_tx_ynyn0d1,clnk1x9yy001n34ao3p4j64wb,#3C57B0,a77d81b5,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,mandatory,5000.0
43,1782.1963,1616.9501,1961.9366,1656.9641,1872.0664,1636.957,0.8854453,26,25235fa0,NGR_future,clnk1xa1b003934aoa97gb8sf,#B20DD0,469b7deb,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,517.666088965482
53,2085.8892,1130.4114,2166.892,1174.8077,2126.3906,1152.6096,0.8766948,2,933ab66b,115_1way_ds_w_motor,clnk1x9yy001w34ao2t1e12f3,#B2AA0A,de3187ce,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,866.7098115668778
66,2235.3225,1339.0396,2297.3079,1379.5974,2266.3152,1359.3185,0.9132276,22,646d0324,DIM,clnk1xcco003j34ao5ownl25b,#B20D0D,18b2b878,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,574.4062043356596
51,2058.6138,1463.3286,2127.243,1497.9875,2092.9282,1480.6581,0.91285396,11,64b09a57,115_la,clnk1x9zg002r34aoait6btdp,#9936AC,02bdc67e,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,318.93102422918764
58,2135.7063,1207.0769,2163.789,1240.4625,2149.7476,1223.7698,0.8310383,4,fa6b8320,115_breaker,clnk1x9z0002734aoowjtqqn8,#F20D7A,3cb26c46,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,756.5432893255071
70,2331.016,1682.3313,2372.9553,1725.137,2351.9858,1703.7341,0.90548694,35,5c81262d,v_m,clnk1x9zk002v34aojm2s6xiu,#0DB24C,fdd26abb,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,733.9402589451772
54,2096.689,1791.0363,2166.0203,1831.1628,2131.3545,1811.0996,0.8716479,31,4afb5288,terminator_double,clnk1x9zm003434aoc9i4tm42,#0DB27A,39267185,clwx2951e0002348cj26enjhl,clwx2951e0002348cj26enjhl-0,clwx2951e0002348cj26enjhl-0,115_transformer-2-0,False,optional,364.91378028648455
89,3004.9097,1132.4395,3082.5613,1184.8625,3043.7354,1158.651,0.9015185,2,53d389f4,115_1way_ds_w_motor,clnk1x9yy001w34ao2t1e12f3,#B2AA0A,0b497d58,clwx2hny8005c348cwgfkbm1o,clwx2hny8005c348cwgfkbm1o-0,clwx2hny8005c348cwgfkbm1o-0,115_transformer_future-3-0,False,mandatory,5000.0
2,67.20832,2460.0112,385.0649,2689.9993,226.13661,2575.0054,0.90774465,15,b7e0e662,22_cap_bank,clnk1x9zg002j34aoox1pjy3x,#0DB24C,4fc0bcef,clwx2ui0x0062348c42jfyv1a,clwx2ui0x0062348c42jfyv1a-0,clwx2ui0x0062348c42jfyv1a-0,22_capacitor_bank-4-0,False,mandatory,5000.0
