,xmin,ymin,xmax,ymax,confidence,class,name
0,4463.2353515625,2441.644287109375,4820.87109375,2685.9169921875,0.8607584834098816,15,22_cap_bank
1,55.77383804321289,2445.8232421875,388.8372497558594,2704.90283203125,0.8333872556686401,15,22_cap_bank
2,2977.278564453125,2468.021240234375,3051.846923828125,2593.248779296875,0.6979113817214966,17,22_ds_la_out
3,4357.47509765625,2462.377685546875,4431.25732421875,2585.810302734375,0.6754430532455444,17,22_ds_la_out
4,1423.679931640625,2453.097412109375,1491.82958984375,2589.4951171875,0.6442488431930542,17,22_ds_la_out
5,4609.81591796875,1925.6805419921875,4646.248046875,2067.587890625,0.5772275328636169,14,22_breaker
6,3565.51513671875,1911.264892578125,3602.210693359375,2043.6956787109375,0.562919020652771,14,22_breaker
7,1940.99169921875,2480.799560546875,2006.5987548828125,2594.324462890625,0.5607517957687378,17,22_ds_la_out
8,1449.141357421875,1917.0426025390625,1484.0438232421875,2047.7249755859375,0.5586513876914978,14,22_breaker
9,4061.404541015625,1908.9766845703125,4106.8564453125,2068.541748046875,0.5568936467170715,14,22_breaker
10,2180.60595703125,301.0032043457031,2333.0908203125,448.3563232421875,0.5508384108543396,13,115_vt_3p
11,3546.810791015625,2443.99462890625,3615.685302734375,2577.040283203125,0.5383418202400208,17,22_ds_la_out
12,4388.70263671875,1917.2352294921875,4424.59423828125,2035.82080078125,0.537371814250946,14,22_breaker
13,571.9312133789062,2461.537109375,634.8360595703125,2601.6533203125,0.5150532722473145,17,22_ds_la_out
14,4185.40673828125,2459.925048828125,4253.90673828125,2582.28076171875,0.5143696665763855,17,22_ds_la_out
15,967.2837524414062,1930.84814453125,1003.2171630859375,2053.2138671875,0.49498626589775085,14,22_breaker
16,209.04757690429688,1921.5484619140625,247.00157165527344,2065.3828125,0.4921107292175293,14,22_breaker
17,769.7861938476562,2461.494873046875,835.8388061523438,2597.2421875,0.4883101284503937,17,22_ds_la_out
18,3747.4482421875,1912.7286376953125,3788.36572265625,2059.8134765625,0.4695534110069275,14,22_breaker
19,3106.3193359375,317.5672302246094,3249.339111328125,473.6325988769531,0.45966944098472595,13,115_vt_3p
20,797.6752319335938,1918.63525390625,836.9554443359375,2049.92724609375,0.45310789346694946,14,22_breaker
21,2800.823486328125,1923.336669921875,2840.615478515625,2044.657470703125,0.44669675827026367,14,22_breaker
22,3006.970947265625,1919.8284912109375,3045.679443359375,2049.784912109375,0.4311146140098572,14,22_breaker
23,1603.33642578125,2474.19873046875,1667.470703125,2596.48974609375,0.4252851903438568,17,22_ds_la_out
24,3349.39111328125,2475.430908203125,3409.964111328125,2595.831787109375,0.4078771770000458,17,22_ds_la_out
25,4210.291015625,1923.4268798828125,4247.4033203125,2038.330078125,0.39077067375183105,14,22_breaker
26,2106.380126953125,1521.162109375,2197.6748046875,1655.0120849609375,0.37874680757522583,0,11522_tx_dyn1
27,2714.571044921875,625.0726928710938,2793.351806640625,677.2283325195312,0.3444959819316864,25,DPM
28,587.7726440429688,1925.1322021484375,630.0894775390625,2040.1982421875,0.31527772545814514,14,22_breaker
29,2795.0048828125,2474.2705078125,2849.8447265625,2585.462890625,0.3005693852901459,17,22_ds_la_out
30,4246.41748046875,2471.455078125,4328.822265625,2580.79736328125,0.2967153489589691,17,22_ds_la_out
31,3212.02978515625,801.7611083984375,3301.113525390625,870.16162109375,0.2944842278957367,25,DPM
32,1905.494384765625,1002.53759765625,2043.4127197265625,1125.9227294921875,0.28696852922439575,13,115_vt_3p
33,2485.291748046875,1959.9085693359375,2683.42626953125,2151.45263671875,0.27364498376846313,13,115_vt_3p
34,1096.826171875,2258.87158203125,1182.7606201171875,2307.206787109375,0.26960885524749756,25,DPM
35,92.67766571044922,3035.351806640625,615.8713989257812,3364.466796875,0.2660733759403229,15,22_cap_bank
